shstReferenceId,A_node,B_node,lanes_am,lanes_md,lanes_pm,name,min_lanes,max_lanes,osm_sfcta_names_dist
036490f52d52858fa2545cccdb12a6d4,21855,21832,1,1,1,ARLINGTON,1,1,0
0366bd1d8db2a5442cac2d40c1ffc1b9,26933,26948,2,2,2,CALIFORNIA,2,2,0
03681721afb6a786968990af7a718d9a,52646,52644,2,2,2,PARKING LOT,2,2,100
036e7ebaf6d807c42aa093190b9ed13a,25678,25663,2,2,2,CHURCH,2,2,0
0372d3bc713dde946400d6ca9b1c73b0,20974,20992,1,1,1,CAMBRIDGE,1,1,0
0378c2969807d59d1d0a007b1ab9cdfb,21627,21628,1,1,1,PERSIA,1,1,0
037bb316b0e58341dfe88b99e851ea6d,22005,52030,1,1,1,VALLEY,1,1,100
037ee6ec327c6ba46e458384c7cc7298,20436,20439,1,1,1,HAWES,1,1,0
03819e5d33f8f6062fd1b79185219a2f,52167,52701,4,4,4,HWY 101 SOUTHBOUND,4,4,18
038230633bff748f66df792746eeb68e,25057,25060,3,2,2,BROADWAY,2,3,0
0384601c4df667eac947551fc88281a1,51187,52426,1,1,1,HWY 101 N ON-RAMP,1,1,100
0385ce9c831e36ae37805c8b90489069,27257,27197,1,1,1,JOHN F KENNEDY,1,1,0
0385ef1b309d85fd62d6f09c55af16ed,22990,22992,1,1,1,TARAVAL,1,1,0
038c385000f87cbd7e537346e3cd05bd,25359,25365,1,1,1,UNION,1,1,0
038d1a54473831976e227ddcb002b746,25425,30710,1,1,1,FILBERT,1,1,0
038eaa0e7cf8db53da35caf9bd87faad,22273,22291,1,1,1,MANGELS,1,1,0
038edbe286360f9ed3bb207ce0b937f3,23395,23396,1,1,1,RIVERA,1,1,0
03926bfd4cc87420534f6e34067e61cd,27890,27891,2,2,2,GEARY,2,2,0
039637a0bcf04b8f168508b31ecdd50d,52186,52189,2,2,2,PHELAN,2,2,10
0398e16609a8a1922809b6c2548e27fa,24984,50234,1,1,1,SABIN,1,1,100
039e74c761ba2cd8a348c32e8721ab83,23881,23872,2,2,2,BRANNAN,2,2,0
03a1ec97c83507f3f2044629b5a68c94,24997,25009,1,1,1,JOICE,1,1,0
03a3d80283ddf0e374c3d8dede1abe5d,25424,25423,1,1,1,POWELL,1,1,0
03a4bc8f3eb0eae91bd73bc1f75e7f29,20916,20954,1,1,1,FELTON,1,1,0
03a9b3935eda33e9e8f192c4de4c122f,33716,52089,1,1,1,UNNAMED #122,1,1,100
03ac269c7032c10186459ff823802ba9,27940,27937,1,1,1,47TH,1,1,0
03b5b6fa0f634cb9231d027fe2d2f872,25352,25364,2,2,2,COLUMBUS,2,2,0
03ba7ee0e273b7b109d9a421847d8a92,27668,27658,1,1,1,26TH,1,1,0
03baa53e524e89fce27300ef349f0db5,21264,21326,2,2,2,MISSION,2,2,0
03bafb5843ce42c0362ccb29f1c1a363,26773,26787,1,1,1,MALLORCA,1,1,0
03bbc05c0c3a9d7457e9c1f769aba991,23056,52081,1,1,1,VARELA,1,1,100
03bc88823c79cd21c6b8d716a6e8a336,23112,33541,2,2,2,LAKE MERCED,2,2,0
03c070557f94a0eb155675bc76e08e7b,26425,26428,1,1,1,BEULAH,1,1,0
03c266523d3e0f2ef696bad1f3647827,23151,22952,1,1,1,WAWONA,1,1,0
03c4dc8b9bf5be3dd310a1d08c427bce,23159,23150,3,3,3,19TH,3,3,100
03c5ce88b8b67adf229ee7216ba8a7d8,27116,27111,1,1,1,12TH,1,1,0
03c9566b3ef58636ddb2d2b90113e951,24475,24465,1,1,1,ELM,1,1,0
03ca8510f0635eede679858dfef80063,21763,21805,1,1,1,TINGLEY,1,1,0
03cc72f17980ebaf5f46d12aa817896c,22556,23006,3,3,3,19TH,3,3,0
03cd9a4f5f7b1619637ce94167e7a3b3,23136,23135,1,1,1,GELLERT,1,1,7
03d2870f7191924b49cf6e3aa7b594a9,33596,22883,1,1,1,VASQUEZ,1,1,0
03d4c2b3e8f77e526e41b6b0a3e6fb45,27365,27366,1,1,1,JUDAH,1,1,0
03d6f6485ad43240b213d293bcd5f817,21758,33020,1,1,1,CAYUGA,1,1,0
03d847b88f7be8057df69d0c3c34af7f,50277,50286,1,1,1,FORT MASON #13,1,1,1
03dfdefa4adfbd73d1bb158b50897592,52951,52950,1,1,1,GATEVIEW,1,1,100
03e0222fef6df772d035cec7349cc7f2,24187,24189,1,1,1,ALAMEDA,1,1,0
